"name","latitude","longitude"
"SiL-30",47.2373652341316,-61.8362816190868
"SiO-1",47.2376626677064,-61.8426464128077
"SiO-2",47.2377607650709,-61.8428846683618
"SiO-3",47.2377364742765,-61.8431567151054
"SiO-4",47.2374834719445,-61.8422834707435
"SiO-5",47.2378314299588,-61.8431068987485
"SiO-6",47.2377764653391,-61.8431169248571
"SiO-7",47.2375394542272,-61.8423790463314
"SiO-8",47.2376790562209,-61.8425298540583
"SiO-9",47.2374332643035,-61.8422632557011
"SiO-10",47.2377141213938,-61.8427877844342
"SiO-11",47.2373660341674,-61.8420878615077
"SiO-12",47.237671032222,-61.842698199983
"SiO-13",47.2375289277418,-61.8424636782008
"SiO-14",47.2377106491944,-61.8426531712755
"SiO-15",47.2377476781058,-61.8429569893016
"SiO-16",47.2374056298115,-61.8420139543376
"SiO-17",47.2374381806409,-61.8423025426214
"SiO-18",47.2377603975643,-61.8430851398352
"SiO-19",47.2373513964227,-61.8419936889929
"SiO-20",47.2373990605566,-61.84218478981
"SiO-21",47.2375403339522,-61.8422556001797
"SiO-22",47.2374645407651,-61.8422489519237
"SiO-23",47.2376355543343,-61.8424733793028
"SiO-24",47.2375265145867,-61.8422253177788
"SiO-25",47.2374934573922,-61.842382021592
"SiO-26",47.2374411576013,-61.8421056321079
"SiO-27",47.2374152298832,-61.8421363597595
"SiO-28",47.2376152995769,-61.8424641980559
"SiO-29",47.2376481492701,-61.8425384374692
"SiO-30",47.2376335714721,-61.8426421511052
"RfO-1",47.2387507256386,-61.8477511649268
"RfO-2",47.2391540197691,-61.848965822849
"RfO-3",47.2378791369208,-61.844729586798
"RfO-4",47.2382908350555,-61.8463527043468
"RfO-5",47.2386982543078,-61.8474437533974
"RfO-6",47.2391189036919,-61.8487243458241
"RfO-7",47.2386661424436,-61.8473790083861
"RfO-8",47.238325853437,-61.8463747008119
"RfO-9",47.2385897458873,-61.847322390909
"RfO-10",47.238597319986,-61.8470793494699
"RfO-11",47.2384998704055,-61.8467677194985
"RfO-12",47.2392462171111,-61.8489150916576
"RfO-13",47.2384040738462,-61.8466071982125
"RfO-14",47.2389677969268,-61.8481587250506
"RfO-15",47.2379283928557,-61.8448337450873
"RfO-16",47.2389291518645,-61.8479314055611
"RfO-17",47.2380473725523,-61.8452759633586
"RfO-18",47.2380213526595,-61.8452207007943
"RfO-19",47.2387982523299,-61.8478423897543
"RfO-20",47.2386921782977,-61.8475149461166
"RfO-21",47.2386464537816,-61.8474939689203
"RfO-22",47.2380055997355,-61.8451966788431
"RfO-23",47.2388047794139,-61.847721147557
"RfO-24",47.2388905164479,-61.8480154783834
"RfO-25",47.2392180459099,-61.8489623673113
"RfO-26",47.2378744280235,-61.8449198428319
"RfO-27",47.238190789792,-61.8459718722641
"RfO-28",47.2384836429083,-61.8470295101877
"RfO-29",47.2381675293946,-61.8459154044422
"RfO-30",47.2383007627178,-61.8462062028047
"RfL-1",47.238674880496,-61.8359503132065
"RfL-2",47.2378894169984,-61.8392239285334
"RfL-3",47.237813704939,-61.8400015794286
"RfL-4",47.2383481820335,-61.8362289755505
"RfL-5",47.237854091152,-61.83892510868
"RfL-6",47.2381489292772,-61.8363410743516
"RfL-7",47.2379825043635,-61.8368155443857
"RfL-8",47.2379920727558,-61.839737990425
"RfL-9",47.2379878788242,-61.8404737620068
"RfL-10",47.2380121597255,-61.840390055797
"RfL-11",47.238268268286,-61.8365506469703
"RfL-12",47.2377626659467,-61.8398360488217
"RfL-13",47.2382149344304,-61.8363519484391
"RfL-14",47.2379545973041,-61.8373366782323
"RfL-15",47.2387567732859,-61.8354209581435
"RfL-16",47.2381861221148,-61.83698551179
