"name","name_full","echantillon","Long_epsg2946","Lat_epsg2946"
"SiO-45","Site sous-influence ouest-45","Stations non-échantillonnées",278899.894455024,5233180.03096216
"SiO-46","Site sous-influence ouest-46","Stations non-échantillonnées",278905.783225193,5233172.65062804
"SiO-47","Site sous-influence ouest-47","Stations non-échantillonnées",278889.803171518,5233172.33011293
"SiO-48","Site sous-influence ouest-48","Stations non-échantillonnées",278841.902799467,5233212.24559762
"SiO-49","Site sous-influence ouest-49","Stations non-échantillonnées",278834.895495183,5233211.35168309
"SiO-50","Site sous-influence ouest-50","Stations non-échantillonnées",278823.757035728,5233221.29812599
"RfO-01","Site référence ouest-1","Stations faites",278691.854788954,5233228.73810912
"RfO-02","Site référence ouest-2","Stations non-échantillonnées",278489.058285028,5233314.95642051
"RfO-03","Site référence ouest-3","Stations non-échantillonnées",278573.03894784,5233279.37360589
"RfO-04","Site référence ouest-4","Stations non-échantillonnées",278477.959560555,5233328.82277675
"RfO-05","Site référence ouest-5","Stations non-échantillonnées",278464.763664609,5233335.19360516
"RfO-06","Site référence ouest-6","Stations faites",278654.11550846,5233239.61770174
"RfO-07","Site référence ouest-7","Stations non-échantillonnées",278631.277754611,5233255.60429888
"RfO-08","Site référence ouest-8","Stations non-échantillonnées",278610.161732742,5233262.65916622
"RfO-09","Site référence ouest-9","Stations non-échantillonnées",278442.939065871,5233343.88996405
"RfO-10","Site référence ouest-10","Stations non-échantillonnées",278492.017848632,5233318.50946261
"RfO-11","Site référence ouest-11","Stations faites",278716.138748355,5233226.00359593
"RfO-12","Site référence ouest-12","Stations non-échantillonnées",278514.441119085,5233309.96835128
"RfO-13","Site référence ouest-13","Stations non-échantillonnées",278503.473753206,5233314.74877528
"RfO-14","Site référence ouest-14","Stations faites",278630.045453362,5233250.65292964
"RfO-15","Site référence ouest-15","Stations non-échantillonnées",278605.37208175,5233267.01386554
"RfO-16","Site référence ouest-16","Stations non-échantillonnées",278418.911220699,5233357.732674
"RfO-17","Site référence ouest-17","Stations non-échantillonnées",278557.031532854,5233278.14329508
"RfO-18","Site référence ouest-18","Stations non-échantillonnées",278455.43325822,5233338.67657853
"RfO-19","Site référence ouest-19","Stations non-échantillonnées",278551.711241931,5233293.91399429
"RfO-20","Site référence ouest-20","Stations non-échantillonnées",278391.698582349,5233367.11903918
"RfO-21","Site référence ouest-21","Stations non-échantillonnées",278578.192275755,5233277.85798694
"RfO-22","Site référence ouest-22","Stations faites",278644.960653563,5233247.28905632
"RfO-23","Site référence ouest-23","Stations non-échantillonnées",278608.271013789,5233259.01465733
"RfO-24","Site référence ouest-24","Stations faites",278659.668063131,5233239.47109599
"RfO-25","Site référence ouest-25","Stations faites",278625.929064717,5233251.88632429
"RfO-26","Site référence ouest-26","Stations non-échantillonnées",278503.368773303,5233310.33695705
"RfO-27","Site référence ouest-27","Stations non-échantillonnées",278602.46874022,5233270.81151338
"RfO-28","Site référence ouest-28","Stations faites",278705.524607421,5233222.71547298
"RfO-29","Site référence ouest-29","Stations non-échantillonnées",278480.460490228,5233327.42291459
"RfO-30","Site référence ouest-30","Stations non-échantillonnées",278480.397983211,5233329.42193798
"RfO-31","Site référence ouest-31","Stations non-échantillonnées",278554.273218861,5233287.46210644
"RfO-32","Site référence ouest-32","Stations non-échantillonnées",278527.252810045,5233300.92529569
"RfO-33","Site référence ouest-33","Stations non-échantillonnées",278451.740797937,5233340.38136126
"RfO-34","Site référence ouest-34","Stations non-échantillonnées",278607.732779734,5233263.27684185
"RfO-35","Site référence ouest-35","Stations non-échantillonnées",278596.242048666,5233261.05146873
"RfO-36","Site référence ouest-36","Stations non-échantillonnées",278648.266927185,5233251.66319558
"RfO-37","Site référence ouest-37","Stations non-échantillonnées",278690.698343798,5233225.41955444
"RfO-38","Site référence ouest-38","Stations non-échantillonnées",278701.52156524,5233233.26787444
"RfO-39","Site référence ouest-39","Stations non-échantillonnées",278584.177836877,5233265.27685459
"RfO-40","Site référence ouest-40","Stations non-échantillonnées",278466.069262814,5233337.05831788
"RfO-41","Site référence ouest-41","Stations non-échantillonnées",278389.333855317,5233365.79081652
"RfO-42","Site référence ouest-42","Stations non-échantillonnées",278594.505146576,5233271.89096965
"RfO-43","Site référence ouest-43","Stations non-échantillonnées",278612.455826894,5233255.5588555
"RfO-44","Site référence ouest-44","Stations non-échantillonnées",278472.665368983,5233329.04454911
"RfO-45","Site référence ouest-45","Stations non-échantillonnées",278386.137867534,5233373.4402452
"RfO-46","Site référence ouest-46","Stations non-échantillonnées",278673.666559106,5233231.61882574
"RfO-47","Site référence ouest-47","Stations non-échantillonnées",278669.99134027,5233239.57171044
"RfO-48","Site référence ouest-48","Stations non-échantillonnées",278644.273309063,5233252.73303409
"RfO-49","Site référence ouest-49","Stations non-échantillonnées",278584.871922138,5233277.93874259
